date,count,category
2025-7-13,1,1
2025-7-16,1,1
2025-7-23,2,1
2025-7-30,3,1
2025-8-4,1,1
2025-8-6,4,1
2025-8-7,2,1
2025-8-13,1,1
2025-8-20,4,1
2025-8-21,2,1
2025-8-22,3,1
2025-8-23,2,1
2025-8-24,2,1
2025-8-26,2,1
2025-8-27,2,1
2025-9-3,1,1
2025-9-8,15,3
2025-9-9,2,1
2025-9-10,4,1
2025-9-11,1,1
2025-9-12,4,1
2025-9-15,1,1
2025-9-16,5,1
2025-9-17,4,1
2025-9-18,1,1
2025-9-19,1,1
2025-9-24,6,2
2025-10-1,1,1
2025-10-8,3,1
2025-10-15,2,1
2025-10-29,3,1
2025-11-5,1,1
2025-11-12,2,1
2025-11-19,2,1
2025-11-26,2,1
2025-12-3,2,1
2025-12-4,5,1
2025-12-5,2,1
2025-12-6,3,1
2025-12-7,4,1
2025-12-10,5,1
2025-12-11,1,1
2025-12-12,4,1
2025-12-13,1,1
2025-12-17,5,1
2025-12-18,1,1
2025-12-22,1,1
2025-12-24,3,1
2025-12-26,1,1
2026-1-2,1,1
